Title,Price,Image,Rating
Apple iPhone 12 64/128/256GB -  Fully Unlocked - All colors - Used Condition,$194.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,5
Apple iPhone 16 128GB Unlocked Very Good Condition,$551.00,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Kyocera DuraXV Extreme E4810 KOSHER Rugged Flip Phone Unlocked,$149.00,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
"Apple iPhone 13 Mini, 128/256/512GB - Unlocked - Used Excellent - All colors",$259.99 - $459.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
"Apple iPhone 5C - 8GB, 16GB, 32GB",$39.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Apple iPhone 5c - 8GB 16GB 32GB - ALL COLORS Unlocked AT&T T-Mobile,$41.99 - $47.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,5
Samsung Galaxy S24 Ultra 512GB S928U Unlocked - Good,$574.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
Samsung Galaxy S21 S991U 5G SM- G991U1 - 128GB - FACTORY UNLOCKED - EXCELLENT,$139.48 - $159.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
65W Type C Super Fast Wall PD Charger+ Cable For Samsung Galaxy S24 S23 S22 NOTE,$1.89,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Apple iPhone 15 Pro Max 256GB Unlocked - Good,$599.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
Apple iPhone 16 Pro Max 256GB Unlocked Excellent Condition,$823.00,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,5
UMIDIGI G9A 4GB+64GB 6.75'' Dual SIM Octa Core Unlocked Android 14 Smartphone,$100.29,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
65W Type USB C Super Fast Wall Charger+3ft Cable For Samsung Galaxy S22 S21 S23,$1.90,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Samsung Galaxy A16 5G SM-A166U1 4GB 128GB Fully Unlocked New Sealed Smartphone,$137.90,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Logic Z1L 4G VoLTE Senior Flip Phone GSM Unlocked Dual Sim- Black - New,$39.95,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Apple iPhone 13 Mini A2628 128GB Unlocked Good Condition All Colors,$194.93 - $196.51,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,5
45w Type USB-C Super Fast Wall Charger +6FT Cable For Samsung Galaxy S23 S21 S22,$1.55,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
NEW Samsung Galaxy S22 Ultra 5G SM-S908U 128GB/256GB/512GB Factory Unlocked,$267.01 - $348.01,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
Apple iPhone 14 Plus 128GB Fully Unlocked - VERY GOOD Condition,$304.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Samsung Galaxy S22 Ultra 512GB S908U Unlocked - Good,$314.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
Motorola Moto Edge 2025 - 256GB (Cricket) - BRAND NEW SEALED,$124.45,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
NEW SEALED Samsung Galaxy S22 Ultra 5G S908U 128GB/256GB/512GB Factory Unlocked,$299.55 - $374.55,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Apple iPhone 5s 16/32/64GB Gray/Silver/Gold Factory UNLOCKED Any carrier,$34.99 - $65.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
Apple iPhone 5s - 16 32 64 GB - (Unlocked) Original Smartphone New battery,$28.99 - $51.29,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
45W Super Fast Charging USB Type C Wall Charger Cable✅Fit Samsung Galaxy S23 S22,$1.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
Samsung Galaxy S24 FE 128GB S721U Unlocked - Very Good,$265.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
Motorola Moto G Play 2024 XT2413-3 64GB Unlocked Android Smartphone,$59.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,5
Google Pixel1st Generation 32GB Factory Unlocked Smartphone with 5.0in,$79.00 - $133.00,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
New ListingSamsung Galaxy S23 FE 128GB Graphite SM-S711U (Unlocked) Fully Functional DF7986,$159.55,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,5
Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Good,$390.99,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4
Apple iPhone 16 128GB Unlocked Excellent Condition,$568.00,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,4.5
Apple iPhone 7 - 32GB 128GB - Unlocked T-mobile AT&T Verizon - Good Condition,$53.00 - $73.00,./Cell Phones & Smartphones _ eBay_files/s_1x2.gif,NA
